,best_arm,algorithm,function,euclidean_distance,true_reward_difference,cumulative_regret,timetocomple
0,"[-1.875, -3.125]",mLGHOO,Easom,8.027238075452852,1.0,1472.790297026297,2.963662041001953
1,"[2.5, 3.125]",mLGHOO,Easom,0.6418147084634318,0.46941184767725763,1434.3549052595586,2.7260340609936975
2,"[0.625, 0.625]",mLGHOO,Easom,3.5590098510681307,0.9999979249858202,1428.6538798915071,2.78371883998625
3,"[1.25, 2.1875]",mLGHOO,Easom,2.1185979727168625,1.002049513581826,1466.5157920621887,2.7540947049856186
4,"[2.96875, 2.5]",mLGHOO,Easom,0.6644754942810155,0.4924921155469528,1448.6792164085214,2.9317345150047913
5,"[3.125, 3.4375]",mLGHOO,Easom,0.2963652644963644,0.12401731708276853,1454.0151675135776,2.5580121550010517
6,"[4.375, -2.1875]",mLGHOO,Easom,5.469970966102106,0.9999999999999806,1525.8782263143185,3.0648765090154484
7,"[4.6875, 1.5625]",mLGHOO,Easom,2.2098333919098967,1.000001563239332,1408.534183082182,2.9298066180199385
8,"[1.25, -1.875]",mLGHOO,Easom,5.361382855196969,1.000000000000031,1479.291845476867,3.0628655520267785
9,"[3.125, 3.75]",mLGHOO,Easom,0.6086264207212829,0.4335358636280926,1507.320621118623,2.727096332004294
10,"[2.1875, 2.5]",mLGHOO,Easom,1.149764049707591,0.876464463464601,1437.0114055087931,2.8090992540237494
11,"[2.8125, 3.75]",mLGHOO,Easom,0.6917061297979078,0.5187594950043237,1407.2180900882486,2.7700769510120153
12,"[2.5, -0.625]",mLGHOO,Easom,3.8208541087039687,1.0000002968291533,1485.3807936930232,2.67129768099403
13,"[2.8125, 1.25]",mLGHOO,Easom,1.9200149400460402,1.007478357071382,1460.496816074529,2.7415890720440075
14,"[2.890625, 2.5]",mLGHOO,Easom,0.6889404986100033,0.5172081069930647,1419.2355495061768,2.7806987859657966
15,"[3.125, 3.75]",mLGHOO,Easom,0.6086264207212829,0.4335358636280926,1456.426801938737,2.691189990960993
16,"[0.9375, 2.5]",mLGHOO,Easom,2.295584319949934,1.0024395087917897,1441.843543817127,2.5033310440485366
