,best_arm,algorithm,function,euclidean_distance,true_reward_difference,cumulative_regret,timetocomple
0,"[-0.25, 0.40625, 0.5, 0.95703125]",mLGHOO,Miele,0.8166305014978087,0.6522166654093398,62286.684207701575,9.134800272004213
1,"[-0.15625, 0.5, 0.59375, 0.6875]",mLGHOO,Miele,0.7328774624724109,0.20059915496710143,6085.677837875605,7.576891479024198
2,"[-0.5546875, 0.453125, 0.5, 1.25]",mLGHOO,Miele,0.9587755150613985,3.5165826681427923,131511.48656439382,8.218630602990743
3,"[-0.4375, 1.0625, 0.921875, 0.5]",mLGHOO,Miele,0.671875,0.09863498111594479,93205.49153541082,7.280045865976717
4,"[0.125, 0.5, -0.0625, 0.21875]",mLGHOO,Miele,1.415938844901149,3.1960069831475177,7375.267130124697,6.117290456953924
5,"[0.125, 0.6875, 0.39453125, -0.390625]",mLGHOO,Miele,1.553612418800636,1.0627431033078871,404774.18445947114,6.59572191699408
6,"[1.25, 0.3125, 0.5, 0.96875]",mLGHOO,Miele,1.511996300425368,6.030569147816176,21427.179209945,7.4827689419616945
7,"[0.6875, 1.07421875, 0.5, 0.921875]",mLGHOO,Miele,0.8568945025360838,3.7818738093843463,68923.81791875396,7.101857241999824
8,"[0.5, 0.3125, 0.23046875, -0.625]",mLGHOO,Miele,1.9888337272699703,1.7663053180808959,94474.32960785605,7.834921157977078
9,"[0.125, 0.1484375, 0.3125, -0.625]",mLGHOO,Miele,1.963177256746382,3.734217869626781,90179.00310596498,5.791410662990529
10,"[-0.90625, 1.2734375, 1.25, 0.546875]",mLGHOO,Miele,1.0788324218947305,3.0558015728161423,193278.01986470426,7.265733192965854
11,"[-0.25, 0.6875, 1.25, 0.96875]",mLGHOO,Miele,0.47289831095067364,3.3012412934709667,19797.815199748675,7.65707083401503
12,"[0.59375, 0.3125, -0.25, 0.5]",mLGHOO,Miele,1.6240983075232853,3.939587501869415,128896.63406995607,7.276177806954365
13,"[-0.63671875, 0.5, 0.5, 0.3828125]",mLGHOO,Miele,1.13416540978722,3.763098514143338,10239.76454803174,6.828228434955236
14,"[1.15625, 0.5, 0.5, 0.44580078125]",mLGHOO,Miele,1.4642577766783793,3.195770001079579,47287.69649949842,7.535574066976551
15,"[1.25, 0.875, 0.5, 0.03125]",mLGHOO,Miele,1.663310422771408,6.424257059957555,39552.192512450405,6.5904066460207105
16,"[1.25, 0.5, 0.34765625, 0.40625]",mLGHOO,Miele,1.6095314320211527,5.9638039824163975,58784.35197306986,6.029727729037404
17,"[1.25, 0.5, 0.5, -0.25]",mLGHOO,Miele,1.9039432764659772,6.7157437785421035,53671.14024546508,6.643537049007136
18,"[1.25, 1.25, 1.25, 0.5]",mLGHOO,Miele,1.3919410907075054,7.575449828097139,58487.22587691311,8.248339382000268
19,"[-0.25, 0.125, 0.3125, 0.5]",mLGHOO,Miele,1.2453036778232047,1.8102183488326888,6748.232930979452,6.111519892001525
20,"[-0.203125, -0.25, -0.25, 0.40625]",mLGHOO,Miele,1.8758461632354078,5.0879815151716565,140077.17338343943,6.956871122005396
21,"[1.0390625, 0.59375, 0.5, 0.93359375]",mLGHOO,Miele,1.2243772831302093,1.4080595750068083,110710.54794300701,7.186859301989898
22,"[0.59375, -0.15625, -0.25, 0.5]",mLGHOO,Miele,1.8713506151974835,1.0206957255929041,183870.4496689478,7.194774586008862
23,"[1.0625, -0.25, 0.1484375, 0.125]",mLGHOO,Miele,2.0450403275745566,2.1500958585088368,101613.3164596009,7.393296240014024
24,"[0.5703125, 0.5, 0.828125, 0.5]",mLGHOO,Miele,0.9245525205640024,0.14944753617930867,16366.288499915698,6.624024597986136
25,"[0.6875, 0.5, 0.5, -0.25]",mLGHOO,Miele,1.5922174003571246,0.8031110625106596,165341.56320655957,7.435216382960789
26,"[1.109375, 0.5, 0.171875, 0.359375]",mLGHOO,Miele,1.6052739008888794,2.421119153726522,51895.64753242247,7.213659392960835
27,"[0.60546875, 1.4375, 1.25, 0.5]",mLGHOO,Miele,0.9330051753482199,1.4077850407993158,335629.1044865667,7.063059384003282
28,"[0.5, 0.125, 0.5, -0.25]",mLGHOO,Miele,1.6817030058842137,1.0889639474924988,232946.69245839634,6.923249423969537
29,"[0.8984375, 0.5, 1.0625, 1.7890625]",mLGHOO,Miele,1.2975807567594781,4.216127730727225,96813.37726615215,6.3328238419489935
30,"[0.8544921875, 0.6875, 1.25, 0.5]",mLGHOO,Miele,1.067854460354282,4.209775637637635,95560.04478308477,6.94868484797189
31,"[-0.859375, 0.5, 0.875, 0.875]",mLGHOO,Miele,1.0098392895035329,12.587815027054207,26954.14631168857,7.373731099010911
32,"[-0.625, 0.6875, 0.96875, 1.25]",mLGHOO,Miele,0.7428040202502946,2.023429198605885,45581.51494815786,6.17008121102117
33,"[-0.8125, 0.875, 0.5, 1.0625]",mLGHOO,Miele,0.9642030387838445,4.237347496584489,146608.39743897537,7.609838322037831
34,"[1.25, -0.25, 0.125, 0.875]",mLGHOO,Miele,1.976423537605237,7.074608021556164,236204.05224544642,6.462498927954584
35,"[0.21875, 0.546875, 0.6875, 1.625]",mLGHOO,Miele,0.8610778583409284,3.4470328948890074,46770.07167189282,6.432420105964411
36,"[0.875, 0.44140625, 0.59375, 1.25]",mLGHOO,Miele,1.1424495787732,0.6965972032405494,190785.8736800931,7.320728096994571
37,"[1.25, 1.25, 0.875, 0.875]",mLGHOO,Miele,1.286953767623375,7.100339512550981,53570.71000983197,6.647348161961418
38,"[-0.25, 1.0625, 0.5, 1.109375]",mLGHOO,Miele,0.5730350256528828,3.40741139608499,92207.60526066805,6.327028359984979
39,"[0.5234375, 1.015625, 0.5, 0.21875]",mLGHOO,Miele,1.065167836320291,1.9239948464836616,151637.70622514948,7.773158702009823
40,"[-0.25, 0.5, 1.25, 0.5]",mLGHOO,Miele,0.7905694150420949,18.9289195604393,47931.16642367995,6.134096661990043
41,"[-0.53125, 0.5, 0.5, 1.109375]",mLGHOO,Miele,0.89117307697495,2.324614874510512,65913.93184431856,6.903786136012059
42,"[0.21875, 0.5, 0.5, 0.125]",mLGHOO,Miele,1.1460700513057656,0.032499420797020624,102588.62429464803,7.001500030979514
43,"[1.25, 0.5, 0.5, -0.25]",mLGHOO,Miele,1.9039432764659772,6.7157437785421035,42563.92864779863,6.301748569996562
44,"[0.5, 1.0625, 0.5, 0.5]",mLGHOO,Miele,0.8682777493406127,3.2147672052059626,135148.74301316543,7.125833041034639
45,"[0.59375, 0.5, 0.5, 0.125]",mLGHOO,Miele,1.2720707773154762,0.03946090181540675,61516.296273159634,7.798658020037692
46,"[0.5, -0.15625, 0.125, 0.171875]",mLGHOO,Miele,1.743080628693062,0.3919365853753054,50225.56836409142,5.983802694012411
47,"[0.3125, 0.40625, 0.5, 0.669921875]",mLGHOO,Miele,0.8995259201954747,0.012232396633429484,10468.330497874056,6.241889188007917
