,best_arm,algorithm,function,euclidean_distance,true_reward_difference,cumulative_regret,timetocomple
0,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.03480553103145212
1,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.033055067993700504
2,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.030665813013911247
3,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.02367070794571191
4,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.018208061926998198
5,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.018080507055856287
6,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.02164094999898225
7,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.02047543495427817
8,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.03112488705664873
9,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.024338796036317945
10,[ 9.18109737 -2.81889516  1.44404393 -0.12675239],Nelder-Mead,Miele,10.017148058438355,7.113389274594e+64,5.770564687634947e+65,0.02175950596574694
11,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.01845810899976641
12,[ 1.00191025 -1.31542697  1.37080167 -0.19999466],Nelder-Mead,Miele,2.818245426045619,7.113389274594e+64,3.5899656219526955e+65,0.024909113068133593
13,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.023906358052045107
14,[ 9.18109737 -2.81889516  1.44404393 -0.12675239],Nelder-Mead,Miele,10.017148058438355,7.113389274594e+64,5.770564687634947e+65,0.022643688949756324
15,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.018465189961716533
16,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.03306919091846794
17,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.031490099034272134
18,[ 3.62777543e+38 -5.67082272e+38  5.05370774e+38 -2.95915611e+37],Nelder-Mead,Miele,8.422975299614565e+38,inf,inf,0.06743592501152307
19,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.024324037018232048
20,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.020148056908510625
21,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.026878830045461655
22,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.02509128302335739
23,[ 2.8768036  -1.52370651  1.57462762  0.00383129],Nelder-Mead,Miele,3.995953268203848,7.113389274594e+64,8.691940625661396e+65,0.018563112011179328
24,[ 6.89449619 -6.11919506  5.84429451 -2.00968712],Nelder-Mead,Miele,11.434265258328537,1.1381422839350392e+62,6.062757398874107e+62,0.023821505019441247
