,best_arm,algorithm,function,euclidean_distance,true_reward_difference,cumulative_regret,timetocomple
0,"[9.375, 9.5, 6.0, 9.0, 8.0, 9.5, 8.0, 9.0, 8.0, 8.25]",mLGHOO,Paviani,4.267128425533969,14.780586991348045,127375.64381752885,21.527461063989904
1,"[9.0, 8.0, 8.75, 9.0, 9.25, 9.0, 8.0, 9.0, 9.25, 7.9375]",mLGHOO,Paviani,2.553975577408682,7.966023803255943,143261.5688397424,22.217406767013017
2,"[9.25, 9.0, 6.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.375, 9.5]",mLGHOO,Paviani,3.7018083418783325,10.257946477389886,125985.73388146768,22.399507420952432
3,"[9.5, 8.0, 8.0, 8.5, 9.125, 9.25, 9.0, 9.0, 8.0, 8.0]",mLGHOO,Paviani,2.8904817937499647,9.93351686819117,131525.69512803073,25.385832122003194
4,"[8.0, 8.5, 8.0, 8.0, 9.5, 9.5, 9.5, 9.375, 9.0, 9.5]",mLGHOO,Paviani,2.532268745611336,8.137223305155445,129075.77020697805,22.880003292986657
5,"[8.5, 9.0, 8.0, 8.0, 8.0, 9.25, 8.0, 6.0, 9.125, 9.5]",mLGHOO,Paviani,4.4114493083339426,15.776406009718713,135998.04147978604,21.627919895981904
6,"[9.5, 6.0, 9.25, 8.0, 8.625, 9.0, 8.0, 9.0, 9.0, 6.0]",mLGHOO,Paviani,5.19979663063855,18.224198304564382,141470.56303786286,22.11991551204119
7,"[9.0, 8.0, 9.0, 8.0, 8.0, 8.78125, 8.5, 9.0, 9.0, 9.0]",mLGHOO,Paviani,2.672157192700312,8.915429225231001,139200.07494980842,21.301553346973378
8,"[8.0, 9.0, 9.5, 8.0, 9.25, 9.0, 9.5, 8.0, 8.0, 9.0]",mLGHOO,Paviani,2.7793902208937866,9.25708009235322,112013.23178436447,21.459471539012156
9,"[8.0, 8.0, 9.5, 8.0, 9.25, 9.0, 9.0, 8.875, 9.5, 8.0]",mLGHOO,Paviani,2.7979251240874925,9.412725232271775,121075.05888486981,20.78496639902005
10,"[9.5, 9.1875, 9.5, 9.25, 9.0, 9.25, 9.5, 9.5, 6.0, 9.0]",mLGHOO,Paviani,3.407571165801238,8.135819526357729,130648.77622286002,21.317197833035607
11,"[9.5, 8.0, 9.0, 8.0, 9.5, 9.5, 6.0, 6.0, 9.5, 9.375]",mLGHOO,Paviani,5.13043711588009,17.847906536353122,135965.74585884222,21.307890369032975
12,"[6.0, 6.0, 6.0, 4.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]",mLGHOO,Paviani,11.388415605342127,50.8755871982549,118276.61362437646,20.75746082601836
13,"[9.0, 9.0, 6.0, 9.0, 8.0, 8.75, 9.0, 8.0, 8.0, 9.0]",mLGHOO,Paviani,4.204998216408661,14.129618076387857,131766.01734096574,21.34709187800763
14,"[8.5, 9.1875, 9.0, 9.0, 8.0, 8.0, 9.0, 9.5, 9.0, 6.0]",mLGHOO,Paviani,4.018151471759124,12.797531633670026,141670.04987576164,21.12449136399664
15,"[9.0, 9.5, 9.0, 9.375, 9.0, 9.0, 8.5, 9.0, 9.5, 9.5]",mLGHOO,Paviani,1.1863325840589576,2.82520631345443,126026.97984111011,20.598079255025368
16,"[8.0, 9.5, 9.25, 8.75, 9.5, 6.0, 8.5, 9.0, 8.875, 8.5]",mLGHOO,Paviani,3.9074780869507144,12.312672019607973,129910.08102899419,20.37117711699102
17,"[8.0, 9.0, 9.5, 6.0, 8.0, 9.0, 8.0, 8.3125, 9.5, 9.5]",mLGHOO,Paviani,4.2539735836039245,14.811145035957082,141075.44726286258,21.832247273006942
18,"[8.0, 9.125, 8.0, 9.5, 9.0, 8.0, 8.0, 9.25, 9.0, 9.0]",mLGHOO,Paviani,2.7845798605893872,9.198019275082906,132129.9222768019,20.963821320037823
19,"[9.0, 6.0, 8.0, 9.0, 8.0, 6.0, 8.0, 9.5, 8.875, 9.0]",mLGHOO,Paviani,5.343443178326127,19.48825366015749,145715.12665765418,19.97433338704286
20,"[8.0, 9.0, 9.0, 9.125, 9.0, 9.5, 9.0, 9.25, 9.25, 9.0]",mLGHOO,Paviani,1.5921322181276296,3.7608022157462813,119341.58184221586,21.390473045001272
21,"[9.0, 6.0, 9.5, 8.5, 9.25, 6.0, 8.0, 9.0, 9.375, 9.25]",mLGHOO,Paviani,5.029650584285156,16.6491818423455,137676.39766148082,21.825595105998218
22,"[9.5, 8.5, 9.0, 9.0, 8.75, 9.0, 9.0, 9.5, 9.0, 8.0]",mLGHOO,Paviani,1.889711618210569,5.380572028652232,126608.65659506764,21.17690337804379
23,"[9.0, 9.0, 8.75, 9.0, 8.0, 9.0, 9.5, 9.5, 6.0, 8.0]",mLGHOO,Paviani,3.9721543273140854,12.534195672806625,127138.5009173608,21.31503070500912
24,"[9.375, 8.0, 8.0, 9.5, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0]",mLGHOO,Paviani,2.79577985542496,9.322718898424533,122618.9447378417,20.82499465800356
25,"[9.0, 8.5, 9.0, 9.5, 9.5, 8.75, 8.0, 9.0, 8.0, 8.875]",mLGHOO,Paviani,2.31870330141655,7.2960711479873765,134063.24407692088,19.354492372018285
26,"[8.5, 9.5, 8.0, 6.0, 9.0, 9.0, 9.125, 9.5, 8.0, 8.0]",mLGHOO,Paviani,4.21555275141944,14.397598478247446,142957.39724589113,21.17056987201795
27,"[9.375, 9.0, 9.0, 9.0, 9.25, 9.0, 9.25, 9.5, 8.25, 8.0]",mLGHOO,Paviani,1.8903399165229535,4.952314143861223,133372.31957055326,23.38819757400779
