,best_arm,algorithm,function,euclidean_distance,true_reward_difference,cumulative_regret,timetocomple
0,"[-0.4375, 0.5]",mLGHOO,SixHumpCamelBack,0.40754637772896474,0.7582761352856955,1460.0408837319837,2.506436631025281
1,"[-0.125, 0.65625]",mLGHOO,SixHumpCamelBack,0.06644066902131555,0.035187215169270925,1304.3768715127765,2.815209690015763
2,"[0.25, 0.3125]",mLGHOO,SixHumpCamelBack,0.5249228991004298,1.0035252278645834,1344.476755544638,2.928835707018152
3,"[0.0, -0.625]",mLGHOO,SixHumpCamelBack,0.1254503886004344,0.08385156250000003,1336.0131864368593,2.738045117002912
4,"[0.25, -0.8125]",mLGHOO,SixHumpCamelBack,0.1887963188200448,0.17735335286458342,1313.904229188509,2.6289382499526255
5,"[0.0, -0.8125]",mLGHOO,SixHumpCamelBack,0.1343281429931941,0.13860009765625003,1305.9308416371114,2.498621248989366
6,"[-0.125, 0.9375]",mLGHOO,SixHumpCamelBack,0.22763798013512596,0.5550808614095053,1345.6533152836555,2.791368072037585
7,"[0.0, 0.5625]",mLGHOO,SixHumpCamelBack,0.1749115490755256,0.17082666015625003,1348.5621521157973,2.7791600670316257
8,"[-0.1875, 0.625]",mLGHOO,SixHumpCamelBack,0.13122137783151036,0.10470802640914922,1293.6497854860002,2.513723823998589
9,"[0.0625, 0.75]",mLGHOO,SixHumpCamelBack,0.1568249023592873,0.11409297641118377,1395.3504503753645,2.8987313780235127
10,"[0.40625, -0.75]",mLGHOO,SixHumpCamelBack,0.31865241643521236,0.3513926152115068,1446.8281810501542,2.644656216027215
11,"[0.25, -0.625]",mLGHOO,SixHumpCamelBack,0.18258641789574603,0.16947981770833342,1548.5522338715805,2.8225402350071818
12,"[-0.0625, 0.75]",mLGHOO,SixHumpCamelBack,0.04630388752577908,0.020342976411183766,1348.6645757769238,2.630686150980182
13,"[0.25, 0.765625]",mLGHOO,SixHumpCamelBack,0.3439123298531182,0.4989936059316,1329.0600070586665,2.733377181983087
